aprueba,created_at
TRUE,5:03:27 PM
TRUE,7:23:52 PM
TRUE,8:00:03 PM
FALSE,8:42:41 PM
TRUE,1:00:30 PM
TRUE,5:00:20 PM
FALSE,5:05:37 PM
FALSE,5:56:35 PM
FALSE,6:16:08 PM
TRUE,4:55:49 PM
TRUE,1:04:59 PM
TRUE,12:57:44 PM
TRUE,11:17:21 AM
TRUE,1:17:32 PM
TRUE,7:38:04 PM
TRUE,2:09:56 PM
TRUE,2:11:31 PM
TRUE,12:05:00 AM
TRUE,6:39:17 PM
TRUE,8:19:05 PM
TRUE,9:17:37 PM
TRUE,6:02:57 PM
TRUE,7:54:08 PM
TRUE,6:58:54 PM
TRUE,7:02:47 PM
TRUE,11:31:13 AM
TRUE,10:03:33 AM
TRUE,4:09:28 PM
FALSE,9:47:42 PM
TRUE,4:02:52 PM
TRUE,12:38:09 PM
TRUE,1:41:52 PM
TRUE,11:14:52 PM
FALSE,12:17:38 AM
TRUE,11:21:32 PM
TRUE,11:46:52 PM
FALSE,7:52:51 PM
TRUE,8:06:18 PM
FALSE,8:08:18 PM
TRUE,9:18:31 PM
TRUE,6:55:06 AM
FALSE,6:59:00 AM
TRUE,7:00:08 AM
FALSE,11:58:32 AM
TRUE,10:00:09 PM
FALSE,7:15:22 PM
TRUE,7:16:31 PM
TRUE,8:20:36 PM
TRUE,4:19:20 PM
TRUE,7:41:39 PM
FALSE,6:58:36 PM
TRUE,9:44:20 PM
TRUE,11:20:16 PM
TRUE,3:35:32 PM
TRUE,6:01:48 PM
TRUE,4:58:34 PM
TRUE,12:18:55 PM
FALSE,7:49:56 AM
TRUE,9:10:34 AM
TRUE,1:26:36 PM
TRUE,11:30:08 AM
TRUE,12:37:01 AM
TRUE,2:07:36 PM
TRUE,9:44:36 AM
FALSE,6:27:06 AM
FALSE,2:00:44 PM
TRUE,11:01:41 AM
TRUE,10:09:55 AM
FALSE,3:44:26 PM
TRUE,6:16:11 PM
FALSE,4:50:46 PM
FALSE,1:24:19 PM
TRUE,1:25:39 PM
TRUE,1:27:07 PM
TRUE,1:28:23 PM
TRUE,11:11:15 AM
TRUE,6:14:03 AM
